Project ID,Project Name,Project URL,Summary,Project Start,Start Year,Last Updated,Last Updated Year,Update Recency,Start Decade,Modality,Project Home Country/Territory,Location,City,State/Region,Country,Latitude,Longitude,Coordinate Stack Size,Shared Coordinate,Named Contributor Band,Project Type Count,Topic Count,Era Count,Organization Type Count,Contributor Type Count,Leadership Tag Count,Funding Type Count,BIPOC Run,Women Run,Leadership Data Available,Temporal Data Status,Location Detail Status,Project Types,Topics,Eras Studied,Organization Types,Contributor Roles,Leadership Classifications,Funding Resources
bdph_0459,The Civil Rights and Restorative Justice Project,https://crrj.org,"CRRJ is a mission-driven program of interdisciplinary teaching, research and policy analysis on race, history, and criminal justice. Our original investigations, transformative pedagogies, and top-level scholarship facilitate local and national initiatives to uncover an accurate history of racial harms during the Jim Crow era and reconcile the ongoing damage.",39173,2007,Ongoing,,Unknown / unparsed,2000s,Mixed,United States,"Northeastern University School of Law, Dockser Hall #120, 360 Huntington Avenue, Boston, MA. 02115",N/A,MA,USA,42.3391989,-71.0908821,1,No,11-25,6,9,1,2,5,1,2,No,No,Yes,Update missing/unparsed,Needs location detail review,Digital Collections/Databases/Archives; Digital Publishing & Digital Editions; Educational Resources; Events/Programming; Exhibits & Digital Storytelling; Local History & Local Places,African History; Black Activism/Advocacy; Black Communities/Urban Renewal; Black Education/Black Students; Black Soldiers/American Civil War; Civil Rights Movement/Black Power; Lynching/Race Riots/Police Brutality; Race Relations/Racial Inequality/Racism; Segregation,20th Century,PWI (Graduate); PWI (Undergraduate),Faculty; Fellows and/or Postdocs; Graduate Students; Library Professionals; Undergraduate Students,Not Minority Run,Grants/Awards (Private: Foundations/Charities); Institutional Operating Budget (Internal)
bdph_0460,Chronicle World,https://chronicleworld.co.uk/,"News journal on Black Britain, Africa and the West Indies, diaspora",35735,1997,44958,2023,Updated 2023-2024,1990s,Digital,United Kingdom,"Professor Thomas L Blair, 14 Braziers Field, Hertford, Hertfordshire, England,SG13 7JS",Professor Thomas L Blair,N/A,United Kingdom,51.7974198,-0.05963690000000001,1,No,1-5,1,13,3,1,2,1,2,No,No,Yes,Complete,Location detail present,Digital Publishing & Digital Editions,African Diaspora/Migration; African History; Black Activism/Advocacy; Black Communities/Urban Renewal; Black Education/Black Students; Black Lives Matter Movement; Black Studies; Caribbean History; Colonialism & Post-Colonialism/Decolonization; Newspapers/Periodicals/Black Press; Politics and Government; Race Relations/Racial Inequality/Racism; Transatlantic Slave Trade/Slavery,19th Century; 20th Century; 21st Century,Independent Scholar/Individual Research,Community Members; Digital/Design Professionals,Not Minority Run,In-Kind Support; Other/Unknown
bdph_0461,Hartford Bound,https://hartfordbound.com/#/,"Hartford Bound integrates archival research, and GIS methodologies to reframe the history of how Hartford became and African Amerian, West Indian, and Puerto Rican city. The project offers new visual and spatial histories of race, ethnic belonging, community formation, and community succession in post-World War II United States.",43705,2019,45166,2023,Updated 2023-2024,2010s,Digital,United States,"University of Connecticut, Storrs, 06269",University of Connecticut,CT,USA,41.81354150000001,-72.2452715,1,No,1-5,2,7,2,1,5,1,2,Yes,No,Yes,Complete,Location detail present,Exhibits & Digital Storytelling; Local History & Local Places,Black Communities/Urban Renewal; Black People - Race Identity; Black Studies; Caribbean History; Digital Humanities; Race Relations/Racial Inequality/Racism; U.S. History,19th Century; 20th Century,PWI (Undergraduate),Community Members; Digital/Design Professionals; Faculty; Library Professionals; Undergraduate Students,BIPOC Run,Grants/Awards (Institutional/Internal); Grants/Awards (Public: State or Local)
bdph_0462,MaCleKi,https://macleki.org,"MaCleKi explores the history of Kisumu, Kenya, through location-based essays and media curated collaboratively by student teams from Cleveland State University and Maseno University.",2014,2014,2019,2019,Last update before 2020,2010s,Digital,United States,"Cleveland State University Center for Public History + Digital Humanities, 2121 Euclid Avenue RT 1351, Cleveland, Ohio 44115",CLEVELAND,OH,USA,41.503214,-81.675603,1,No,51+,3,6,3,1,5,1,2,Yes,No,Yes,Complete,Location detail present,Data Mining/Mapping/Visualization; Exhibits & Digital Storytelling; Local History & Local Places,African History; Colonialism & Post-Colonialism/Decolonization; Digital Humanities; Historical Figure; Historical Landmarks/Monuments; Race Relations/Racial Inequality/Racism,19th Century; 20th Century; 21st Century,Inter-Institution Partnership,Digital/Design Professionals; Faculty; Graduate Students; Museum Professionals; Undergraduate Students,BIPOC Run,Grants/Awards (Institutional/Internal); Grants/Awards (Public/Federal)
bdph_0463,What Happened to Lottie Gee?,https://www.eubieblake.net/exhibits/show/what-happened-to-lottie-gee,"What Happened to Lottie Gee? tells the story of the actress who starred in the groundbreaking musical, Shuffle Along, in 1922-23. Despite her great success, Gee's career stalled after Shuffle Along and she faded into obscurity. This podcast explores why.",44197,2021,44927,2023,Updated 2023-2024,2020s,Digital,United States,"New York, New York",New York,N/A,N/A,40.7127753,-74.0059728,12,Yes,6-10,3,5,2,1,1,1,1,No,No,Yes,Complete,Needs location detail review,Art and Performance; Educational Resources; Exhibits & Digital Storytelling,Black Music; Black Visual and Performance Art; Black Women/Feminism; Digital Humanities; Historical Figure,19th Century; 20th Century,Other/Unknown,Graduate Students,Not Minority Run,Other/Unknown
bdph_0464,Black Women’s Organizing Archive,https.//bwoaproject.org,"Digital resource that brings together the scattered archives of 19th and early 20th century Black women intellectuals, organizers, and activists.",44044,2020,Unspecified,,Unknown / unparsed,2020s,Digital,United States,"Pennsylvania State University, Center for Black Digital Research, 3rd Floor (W321), Pattee Library University Park, PA 16802",N/A,PA,USA,40.79806550000001,-77.8658612,1,No,11-25,5,4,2,1,4,2,3,Yes,Yes,Yes,Update missing/unparsed,Needs location detail review,Data Mining/Mapping/Visualization; Digital Collections/Databases/Archives; Educational Resources; Events/Programming; Resource Hub,Black Activism/Advocacy; Black Literature; Digital Humanities; Newspapers/Periodicals/Black Press,19th Century; 20th Century,University Library,Faculty; Fellows and/or Postdocs; Graduate Students; Library Professionals,BIPOC Run; Women Run,Grants/Awards (Private: Foundations/Charities); In-Kind Support; Institutional Operating Budget (Internal)
bdph_0465,Black Teacher Archive,https://curiosity.lib.harvard.edu/black-teacher-archive,The Black Teacher Archive (BTA) is a freely available digital portal centralizing materials created by professional organizations of African American educators during Jim Crow.,2019,2019,45200,2023,Updated 2023-2024,2010s,Digital,United States,"6 Appian Way Cambridge, MA 02138",N/A,MA,USA,42.3748981,-71.12175119999999,1,No,26-50,3,6,2,1,2,1,1,Yes,No,Yes,Complete,Needs location detail review,Digital Collections/Databases/Archives; Educational Resources; Exhibits & Digital Storytelling,Black Activism/Advocacy; Black Education/Black Students; Black Studies; Civil Rights Movement/Black Power; Race Relations/Racial Inequality/Racism; Segregation,19th Century; 20th Century,University Library,Faculty; Library Professionals,BIPOC Run,Grants/Awards (Private: Foundations/Charities)
bdph_0466,Memorializing Racial Terror: Lynching Markers in the United States,https://sites.lib.jmu.edu/lynchingmarkers/,This digital project aims to catalog and map all the historical markers commemorating victims of lynching in the United States.,45305,2024,45305,2024,Updated 2023-2024,2020s,Digital,United States,"58 Bluestone Dr. MSC 1205 James Madison University​ Harrisonburg, Virginia 22807",N/A,VA,USA,38.438034,-78.874196,2,Yes,6-10,2,5,2,2,3,1,1,No,No,Yes,Complete,Needs location detail review,Data Mining/Mapping/Visualization; Digital Collections/Databases/Archives,Black Activism/Advocacy; Black Communities/Urban Renewal; Historical Landmarks/Monuments; Lynching/Race Riots/Police Brutality; U.S. History,19th Century; 20th Century,PWI (Undergraduate); University Library,Faculty; Library Professionals; Undergraduate Students,Not Minority Run,Grants/Awards (Institutional/Internal)
bdph_0467,Hidden Histories: Black in Psychology,https://documents.manchester.ac.uk/display.aspx?DocID=62182,‘Hidden Histories: Black in Psychology’ celebrates Black contributions to the subject and how we all have a place in psychology.,2022,2022,2022,2022,Updated 2020-2022,2020s,Digital,United Kingdom,"Manchester, United Kingdom",Manchester,N/A,United Kingdom,53.4807593,-2.2426305,2,Yes,1-5,1,4,3,1,1,1,1,Yes,No,Yes,Complete,Location detail present,Educational Resources,Black Activism/Advocacy; Black Education/Black Students; Black People - Race Identity; Race Relations/Racial Inequality/Racism,19th Century; 20th Century; 21st Century,Independent Scholar/Individual Research,Graduate Students,BIPOC Run,Grants/Awards (Private: Corporate/Individual Sponsors)
bdph_0468,Hidden Histories: Black in Manchester,https://documents.manchester.ac.uk/display.aspx?DocID=68918,"Hidden Histories: Black in Manchester' celebrates the lives, work and legacies of Black activists, change-makers and community members in Manchester across the centuries.",2023,2023,2023,2023,Updated 2023-2024,2020s,Digital,United Kingdom,"Manchester, United Kingdom",Manchester,N/A,United Kingdom,53.4807593,-2.2426305,2,Yes,1-5,3,12,4,1,2,1,1,Yes,No,Yes,Complete,Location detail present,Educational Resources; Local History & Local Places; Oral Histories,Abolitionists/Emancipation/Reconstruction; African Diaspora/Migration; Black Activism/Advocacy; Black Communities/Urban Renewal; Black Education/Black Students; Black Lives Matter Movement; Black People - Race Identity; Black Women/Feminism; Historical Figure; Historical Landmarks/Monuments; Politics and Government; Race Relations/Racial Inequality/Racism,18th Century; 19th Century; 20th Century; 21st Century,Independent Scholar/Individual Research,Community Members; Graduate Students,BIPOC Run,Grants/Awards (Institutional/Internal)
